SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2015-16,22.0,DAL,NBA,SF,55.0,9.0,647.0,4.0,9.7,0.406,1.2,4.6,0.265,2.7,5.1,0.533,2.4,3.1,0.8,1.0,6.3,7.3,1.6,1.1,1.4,1.3,2.5,11.6,Justin Anderson
2016-17,23.0,TOT,NBA,SF,75.0,10.0,1228.0,5.5,12.9,0.424,1.7,5.7,0.299,3.8,7.2,0.522,3.0,3.8,0.791,2.0,5.2,7.2,1.9,1.2,0.7,1.9,3.2,15.6,Justin Anderson
2016-17,23.0,DAL,NBA,SF,51.0,2.0,710.0,5.6,14.0,0.401,1.9,6.2,0.303,3.8,7.9,0.477,3.5,4.5,0.795,2.0,5.6,7.6,1.6,1.4,0.8,2.0,3.2,16.7,Justin Anderson
2016-17,23.0,PHI,NBA,SF,24.0,8.0,518.0,5.2,11.3,0.463,1.5,5.0,0.292,3.8,6.3,0.6,2.2,2.8,0.78,2.1,4.6,6.7,2.4,0.9,0.5,1.8,3.1,14.1,Justin Anderson
2017-18,24.0,PHI,NBA,SF,38.0,0.0,519.0,6.0,14.0,0.431,2.4,7.1,0.33,3.7,6.9,0.535,1.9,2.6,0.737,1.7,4.7,6.5,1.7,1.0,0.5,1.1,3.7,16.4,Justin Anderson
2018-19,25.0,ATL,NBA,SF,48.0,4.0,463.0,5.0,12.2,0.408,1.9,6.0,0.312,3.1,6.2,0.5,2.0,2.7,0.743,1.9,4.7,6.5,1.8,1.7,1.0,1.8,3.7,13.8,Justin Anderson
2019-20,26.0,BRK,NBA,SG,10.0,1.0,107.0,3.4,12.8,0.263,2.0,9.8,0.207,1.3,3.0,0.444,0.7,1.3,0.5,0.3,6.7,7.1,2.7,0.0,2.0,1.3,4.4,9.4,Justin Anderson
2021-22,28.0,TOT,NBA,SF,16.0,6.0,316.0,4.1,10.8,0.379,1.7,6.7,0.254,2.4,4.1,0.583,1.7,2.2,0.789,0.5,4.8,5.2,3.8,0.9,0.7,0.9,2.5,11.6,Justin Anderson
2021-22,28.0,CLE,NBA,SF,3.0,0.0,47.0,3.1,6.1,0.5,1.5,4.6,0.333,1.5,1.5,1.0,2.3,3.1,0.75,0.0,4.6,4.6,4.6,0.8,0.0,1.5,3.1,10.0,Justin Anderson
2021-22,28.0,IND,NBA,SF,13.0,6.0,269.0,4.3,11.6,0.368,1.7,7.1,0.245,2.5,4.6,0.559,1.6,2.0,0.8,0.5,4.8,5.4,3.6,0.9,0.8,0.8,2.4,11.9,Justin Anderson
2019-20,20.0,IND,NBA,C,54.0,2.0,471.0,5.4,11.5,0.467,0.6,3.2,0.19,4.7,8.3,0.574,1.8,2.5,0.727,1.9,6.2,8.1,1.8,0.8,2.8,2.1,5.0,13.1,Goga Bitadze
2020-21,21.0,IND,NBA,C,45.0,3.0,561.0,5.3,12.4,0.428,1.3,5.1,0.253,4.0,7.4,0.548,2.9,3.9,0.738,3.9,5.8,9.6,2.4,0.6,3.9,1.1,6.0,14.8,Goga Bitadze
2021-22,22.0,IND,NBA,C,50.0,16.0,729.0,6.5,12.4,0.52,1.1,4.0,0.288,5.3,8.5,0.628,3.2,4.6,0.681,3.9,4.8,8.7,2.7,1.0,2.1,2.3,5.3,17.2,Goga Bitadze
2022-23,23.0,TOT,NBA,C,38.0,1.0,457.0,5.4,9.8,0.552,0.5,2.0,0.231,5.0,7.8,0.636,1.8,3.3,0.548,4.8,6.0,10.8,3.1,1.3,2.0,1.7,5.0,13.2,Goga Bitadze
2022-23,23.0,IND,NBA,C,21.0,0.0,202.0,4.8,9.3,0.519,0.7,2.5,0.286,4.1,6.8,0.605,2.0,4.3,0.458,4.5,4.3,8.7,3.2,1.6,1.8,2.1,6.1,12.3,Goga Bitadze
2022-23,23.0,ORL,NBA,C,17.0,1.0,255.0,5.9,10.3,0.575,0.3,1.7,0.167,5.6,8.6,0.656,1.7,2.5,0.667,5.1,7.3,12.4,3.0,1.0,2.3,1.4,4.2,13.8,Goga Bitadze
2019-20,21.0,TOR,NBA,SF,19.0,0.0,135.0,3.5,9.6,0.361,0.8,4.0,0.2,2.7,5.6,0.476,2.1,2.7,0.8,2.4,4.5,6.9,1.9,1.1,0.3,1.9,4.8,9.9,Oshae Brissett
