2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
174.0,0.523,333.0,0.0,0.0,7.0,20.0,101.0,41.0,263.0,174.0,0.512,340.0,129.0,0.721,179.0,69.0,19.0,NBA,1368.0,118.0,138.0,C,477.0,2017-18,32.0,MIA,66.0,381.0,0.512,Bam Adebayo
277.0,0.588,471.0,3.0,0.2,15.0,21.0,184.0,65.0,432.0,280.0,0.576,486.0,166.0,0.735,226.0,82.0,28.0,NBA,1913.0,165.0,203.0,C,729.0,2018-19,71.0,MIA,121.0,597.0,0.579,Bam Adebayo
438.0,0.564,776.0,2.0,0.143,14.0,22.0,368.0,93.0,559.0,440.0,0.557,790.0,264.0,0.691,382.0,72.0,72.0,NBA,2417.0,176.0,182.0,PF,1146.0,2019-20,82.0,MIA,204.0,735.0,0.558,Bam Adebayo
454.0,0.573,792.0,2.0,0.25,8.0,23.0,346.0,66.0,431.0,456.0,0.57,800.0,283.0,0.799,354.0,64.0,64.0,NBA,2143.0,142.0,145.0,C,1197.0,2020-21,75.0,MIA,169.0,573.0,0.571,Bam Adebayo
406.0,0.562,723.0,0.0,0.0,6.0,24.0,190.0,44.0,427.0,406.0,0.557,729.0,256.0,0.753,340.0,56.0,56.0,NBA,1825.0,137.0,171.0,C,1068.0,2021-22,80.0,MIA,148.0,564.0,0.557,Bam Adebayo
601.0,0.545,1102.0,1.0,0.083,12.0,25.0,240.0,61.0,504.0,602.0,0.54,1114.0,324.0,0.806,402.0,75.0,75.0,NBA,2598.0,184.0,208.0,C,1529.0,2022-23,88.0,MIA,187.0,688.0,0.541,Bam Adebayo
30.0,0.441,68.0,2.0,0.182,11.0,22.0,14.0,5.0,33.0,32.0,0.405,79.0,43.0,0.768,56.0,42.0,0.0,NBA,359.0,23.0,20.0,SG,109.0,2011-12,11.0,CHI,14.0,56.0,0.418,Jimmy Butler
199.0,0.489,407.0,40.0,0.381,105.0,23.0,115.0,31.0,192.0,239.0,0.467,512.0,187.0,0.803,233.0,82.0,20.0,NBA,2134.0,136.0,97.0,SF,705.0,2012-13,78.0,CHI,62.0,328.0,0.506,Jimmy Butler
207.0,0.457,453.0,68.0,0.283,240.0,24.0,175.0,36.0,243.0,275.0,0.397,693.0,260.0,0.769,338.0,67.0,67.0,NBA,2591.0,87.0,106.0,SG,878.0,2013-14,127.0,CHI,102.0,330.0,0.446,Jimmy Butler
348.0,0.484,719.0,73.0,0.378,193.0,25.0,212.0,36.0,265.0,421.0,0.462,912.0,386.0,0.834,463.0,65.0,65.0,NBA,2513.0,114.0,108.0,SG,1301.0,2014-15,114.0,CHI,93.0,379.0,0.502,Jimmy Butler
406.0,0.489,830.0,64.0,0.312,205.0,26.0,321.0,43.0,279.0,470.0,0.454,1035.0,395.0,0.832,475.0,67.0,67.0,NBA,2474.0,79.0,124.0,SG,1399.0,2015-16,110.0,CHI,132.0,358.0,0.485,Jimmy Butler
479.0,0.477,1004.0,91.0,0.367,248.0,27.0,417.0,32.0,341.0,570.0,0.455,1252.0,585.0,0.865,676.0,76.0,75.0,NBA,2809.0,129.0,112.0,SF,1816.0,2016-17,143.0,CHI,159.0,470.0,0.492,Jimmy Butler
367.0,0.509,721.0,70.0,0.35,200.0,28.0,288.0,24.0,235.0,437.0,0.474,921.0,363.0,0.854,425.0,59.0,59.0,NBA,2164.0,79.0,78.0,SG,1307.0,2017-18,116.0,MIN,108.0,314.0,0.512,Jimmy Butler
351.0,0.494,711.0,67.0,0.347,193.0,29.0,263.0,39.0,221.0,418.0,0.462,904.0,312.0,0.855,365.0,65.0,65.0,NBA,2185.0,121.0,111.0,"SF,SG",1215.0,2018-19,123.0,TOT,95.0,342.0,0.499,Jimmy Butler
57.0,0.509,112.0,17.0,0.378,45.0,29.0,43.0,10.0,36.0,74.0,0.471,157.0,48.0,0.787,61.0,10.0,10.0,NBA,361.0,16.0,18.0,SG,213.0,2018-19,24.0,MIN,14.0,52.0,0.525,Jimmy Butler
294.0,0.491,599.0,50.0,0.338,148.0,29.0,220.0,29.0,185.0,344.0,0.461,747.0,264.0,0.868,304.0,55.0,55.0,NBA,1824.0,105.0,93.0,SF,1002.0,2018-19,99.0,PHI,81.0,290.0,0.494,Jimmy Butler
316.0,0.495,639.0,29.0,0.244,119.0,30.0,350.0,32.0,280.0,345.0,0.455,758.0,438.0,0.834,525.0,58.0,58.0,NBA,1959.0,106.0,81.0,SF,1157.0,2019-20,103.0,MIA,127.0,386.0,0.474,Jimmy Butler
341.0,0.538,634.0,25.0,0.245,102.0,31.0,369.0,18.0,265.0,366.0,0.497,736.0,359.0,0.863,416.0,52.0,52.0,NBA,1745.0,94.0,71.0,SF,1116.0,2020-21,108.0,MIA,109.0,359.0,0.514,Jimmy Butler
371.0,0.52,713.0,27.0,0.233,116.0,32.0,312.0,27.0,234.0,398.0,0.48,829.0,396.0,0.87,455.0,57.0,57.0,NBA,1931.0,102.0,88.0,SF,1219.0,2021-22,94.0,MIA,121.0,336.0,0.496,Jimmy Butler
443.0,0.564,785.0,36.0,0.35,103.0,33.0,340.0,21.0,234.0,479.0,0.539,888.0,472.0,0.85,555.0,64.0,64.0,NBA,2138.0,141.0,80.0,PF,1466.0,2022-23,117.0,MIA,101.0,375.0,0.56,Jimmy Butler
