DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-10-20,25-360,SAS,HOME,ORL,W (+26),0,4:24,0,1,.000,0,0,,1,2,.500,1,0,1,1,0,1,0,0,1,2.0,0,Jock Landale
2021-10-23,25-363,SAS,HOME,MIL,L (-10),0,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+2,Jock Landale
2021-10-30,26-005,SAS,AWAY,MIL,W (+9),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,,Jock Landale
2021-11-01,26-007,SAS,AWAY,IND,L (-13),0,5:20,4,4,1.000,1,1,1.000,1,1,1.000,1,0,1,1,0,0,0,0,10,10.2,+7,Jock Landale
2021-11-24,26-030,SAS,HOME,ATL,L (-18),0,4:54,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,+3,Jock Landale
2021-11-29,26-035,SAS,HOME,WAS,W (+17),0,1:45,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1,Jock Landale
2021-12-02,26-038,SAS,AWAY,POR,W (+31),0,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+6,Jock Landale
2021-12-07,26-043,SAS,HOME,NYK,L (-12),0,2:45,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,+2,Jock Landale
2021-12-12,26-048,SAS,HOME,NOP,W (+15),0,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,Jock Landale
2021-12-15,26-051,SAS,HOME,CHO,L (-16),0,6:04,2,5,.400,0,2,.000,0,0,,2,2,4,1,0,1,1,0,4,3.7,+10,Jock Landale
2021-12-17,26-053,SAS,AWAY,UTA,W (+2),0,6:20,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2,0.2,+14,Jock Landale
2021-12-19,26-055,SAS,AWAY,SAC,L (-7),0,10:51,1,2,.500,1,1,1.000,4,4,1.000,1,1,2,0,1,0,1,1,7,6.6,+7,Jock Landale
