PLAYER,BIRTH_DATE
Carmelo Anthony,1984-05-29
Trevor Ariza,1985-06-30
D.J. Augustin,1987-11-10
Kent Bazemore,1989-07-01
Avery Bradley,1990-11-26
Chaundee Brown Jr.,1998-12-04
Darren Collison,1987-08-23
Anthony Davis,1993-03-11
Sekou Doumbouya,2000-12-23
Wayne Ellington,1987-11-29
Wenyen Gabriel,1997-03-26
Talen Horton-Tucker,2000-11-25
Dwight Howard,1985-12-08
Jay Huff,1998-08-25
LeBron James,1984-12-30
Stanley Johnson,1996-05-29
Jemerrio Jones,1995-04-09
Mason Jones,1998-07-21
DeAndre Jordan,1988-07-21
Mac McClung,1999-01-06
Malik Monk,1998-02-04
Austin Reaves,1998-05-29
Rajon Rondo,1986-02-22
Isaiah Thomas,1989-02-07
Russell Westbrook,1988-11-12
