PLAYER,BIRTH_DATE
Nickeil Alexander-Walker,1998-09-02
Udoka Azubuike,1999-09-17
Bojan Bogdanović,1989-04-18
Jared Butler,2000-08-25
Zylan Cheatham,1995-11-17
Jordan Clarkson,1992-06-07
Mike Conley,1987-10-11
Malik Fitts,1997-07-04
Trent Forrest,1998-06-12
Rudy Gay,1986-08-17
Rudy Gobert,1992-06-26
Juancho Hernangómez,1995-09-28
Danuel House Jr.,1993-06-07
Elijah Hughes,1998-03-10
Joe Ingles,1987-10-02
Donovan Mitchell,1996-09-07
Greg Monroe,1990-06-04
Royce O'Neale,1993-06-05
Miye Oni,1997-08-04
Eric Paschall,1996-11-04
Norvel Pelle,1993-02-03
Xavier Sneed,1997-12-21
Denzel Valentine,1993-11-16
Hassan Whiteside,1989-06-13
