PLAYER,BIRTH_DATE
Will Barton,1991-01-06
Bol Bol,1999-11-16
Facundo Campazzo,1991-03-23
Vlatko Čančar,1997-04-10
Gary Clark,1994-11-16
PJ Dozier,1996-10-25
Aaron Gordon,1995-09-16
JaMychal Green,1990-06-21
R.J. Hampton,2001-02-07
Gary Harris,1994-09-14
Shaquille Harrison,1993-10-06
Isaiah Hartenstein,1998-05-05
Markus Howard,1999-03-03
Nikola Jokić,1995-02-19
JaVale McGee,1988-01-19
Paul Millsap,1985-02-10
Monte Morris,1995-06-27
Jamal Murray,1997-02-23
Zeke Nnaji,2001-01-09
Michael Porter Jr.,1998-06-29
Austin Rivers,1992-08-01
Greg Whittington,1993-02-07
